OBJECTNUMMER;PROJECTID;PROJECTNAAM;JAARBOUW;JAAROPL;OPDRACHTGEVER;ARCHITECT;PROJECTTYPE;WEBSITE;FASE_ID;FASE;HUUR_SOC;HUUR_MIDDEL;HUUR_DUUR;KOOP;ONBEKEND_HUURKOOP;EENGEZINS;APP;ONBEKEND_EENAPP;STUDJONG;TOTAAL_BRUTO;VERVANGING;TOTAAL_NETTO;STADSDEEL_CODE;GEBIED_CODE;COORDS;LNG;LAT;
222;"1471 01";"De Studio (GAK-Noordvleugel)";2011;2013;"Stadgenoot / AM Wonen bv";"Wessel de Jonge Architecten bv";"Functiewijziging";"";"7";"Opgeleverd";150;0;0;170;0;0;320;0;230;320;0;320;E;DX04;"POLYGON((4.844797 52.377018,4.844698 52.377034,4.844694 52.377024,4.844619 52.377035,4.844623 52.377045,4.844557 52.377055,4.844553 52.377045,4.844535 52.377049,4.844365 52.376644,4.844196 52.37667,4.844143 52.376541,4.844255 52.376523,4.844246 52.376503,4.84427 52.3765,4.844278 52.37652,4.844312 52.376514,4.844284 52.376446,4.844577 52.3764,4.844586 52.376424,4.844547 52.37643,4.844797 52.377018))";"4,84447";"52,3767275";
223;"1410 06";"BSH k22 Patch 22";2014;2016;"Vereniging Lemniskade";"FRANTZEN et al architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;35;0;5;30;0;0;35;0;35;N;DX18;"POLYGON((4.905914 52.39567,4.905849 52.395695,4.905895 52.39574,4.905486 52.395896,4.905045 52.395467,4.905525 52.395282,4.905914 52.39567))";"4,9054795";"52,395589";
224;"1410 07";"Buiksloterham (gem) fase 1-24";2021;2022;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";6;0;0;11;0;0;0;17;0;17;0;17;N;DX18;"POLYGON((4.90697 52.396087,4.906456 52.396284,4.906184 52.396021,4.9067 52.395822,4.90697 52.396087))";"4,906577";"52,396053";
225;"1410 08";"Buiksloterham (gem) fase 1-41";2014;2016;"GTP Vastgoedontwikkeling";"Tekton Architecten";"Functiewijziging";"";"6";"In aanbouw";0;0;0;2;0;0;2;0;0;2;0;2;N;DX18;"POLYGON((4.902892 52.39495,4.902719 52.395016,4.901878 52.394204,4.902056 52.394136,4.902892 52.39495))";"4,902385";"52,394576";
226;"1479 03";"BSH k45 Grasweg";2023;2025;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";28;0;0;54;0;0;0;82;0;82;0;82;N;DX18;"POLYGON((4.897431 52.394609,4.896753 52.395785,4.896096 52.395122,4.897431 52.394609))";"4,8967635";"52,395197";
227;"1410 12";"Buiksloterham k57 Hoekpoort";2021;2022;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";7;0;0;13;0;0;0;20;0;20;0;20;N;DX18;"POLYGON((4.906681 52.39178,4.905983 52.392175,4.905622 52.391823,4.9052 52.391745,4.905288 52.391556,4.90622 52.391304,4.906351 52.391461,4.906681 52.39178))";"4,9059405";"52,3917395";
228;"1410 13";"Buiksloterham (gem) fase 2-39";2020;2024;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;0;489;0;0;489;0;489;0;489;N;DX18;"POLYGON((4.899814 52.396132,4.897836 52.396892,4.897 52.396078,4.898978 52.395318,4.899814 52.396132))";"4,898407";"52,396105";
229;"1410 15";"Buiksloterham (gem) fase 3-18";2020;2025;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;0;588;0;0;588;0;588;0;588;N;DX18;"POLYGON((4.902149 52.397939,4.899826 52.398831,4.898829 52.39786,4.901152 52.396967,4.902149 52.397939))";"4,900489";"52,397899";
230;"1479 12";"BSH k68 Kop Grasweg";2018;2020;"Amvest/Hurks/de Alliantie";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;41;0;77;0;0;118;0;0;118;0;118;N;DX18;"POLYGON((4.899039 52.392524,4.898192 52.39314,4.897683 52.394049,4.897261 52.39396,4.897863 52.39235,4.899039 52.392524))";"4,89815";"52,3931995";
231;"1479 13";"BSH k69 Kop Grasweg";2018;2020;"Amvest/Hurks/de Alliantie";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";68;50;0;0;0;0;118;0;0;118;0;118;N;DX18;"POLYGON((4.899869 52.393195,4.898118 52.393882,4.898426 52.393331,4.898455 52.393287,4.898491 52.393244,4.898533 52.393203,4.898581 52.393165,4.899242 52.392684,4.899465 52.392802,4.899869 52.393195))";"4,8989935";"52,393283";
232;"1479 14";"BSH k70 Kop Grasweg";2018;2020;"Amvest/Hurks/de Alliantie";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";68;50;0;0;0;0;118;0;0;118;0;118;N;DX18;"POLYGON((4.900193 52.393068,4.899869 52.393195,4.899465 52.392802,4.899242 52.392684,4.899492 52.392502,4.899748 52.392633,4.900193 52.393068))";"4,8997175";"52,3928485";
