OBJECTNUMMER;PROJECTID;PROJECTNAAM;JAARBOUW;JAAROPL;OPDRACHTGEVER;ARCHITECT;PROJECTTYPE;WEBSITE;FASE_ID;FASE;HUUR_SOC;HUUR_MIDDEL;HUUR_DUUR;KOOP;ONBEKEND_HUURKOOP;EENGEZINS;APP;ONBEKEND_EENAPP;STUDJONG;TOTAAL_BRUTO;VERVANGING;TOTAAL_NETTO;STADSDEEL_CODE;GEBIED_CODE;COORDS;LNG;LAT;
550;"1913 04";"Food Center Amsterdam (4)";2021;2022;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.864748 52.378933,4.8646 52.379252,4.863532 52.379104,4.863679 52.378825,4.864748 52.378933))";"4,86414";"52,3790385";
551;"1913 05";"Food Center Amsterdam (5)";2022;2023;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.86436 52.379699,4.864213 52.380017,4.863145 52.379869,4.863291 52.37959,4.86436 52.379699))";"4,8637525";"52,3798035";
552;"1913 06";"Food Center Amsterdam (6)";2023;2024;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.864907 52.380907,4.86476 52.381226,4.863692 52.381077,4.863838 52.380798,4.864907 52.380907))";"4,8642995";"52,381012";
553;"1913 07";"Food Center Amsterdam (7)";2024;2025;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.868959 52.377019,4.868812 52.377338,4.867744 52.377189,4.86789 52.376911,4.868959 52.377019))";"4,8683515";"52,3771245";
554;"1913 08";"Food Center Amsterdam (8)";2025;2026;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.868704 52.377649,4.868557 52.377968,4.867488 52.377819,4.867635 52.37754,4.868704 52.377649))";"4,868096";"52,377754";
555;"1913 09";"Food Center Amsterdam (9)";2026;2027;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";30;0;0;70;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.868424 52.378191,4.868276 52.37851,4.867208 52.378361,4.867355 52.378082,4.868424 52.378191))";"4,867816";"52,378296";
556;"1913 10";"Food Center Amsterdam (10)";2027;2028;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.868038 52.378638,4.867891 52.378957,4.866822 52.378809,4.866969 52.37853,4.868038 52.378638))";"4,86743";"52,3787435";
557;"1913 11";"Food Center Amsterdam (11)";2028;2029;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.867824 52.379227,4.867677 52.379545,4.866609 52.379397,4.866755 52.379118,4.867824 52.379227))";"4,8672165";"52,3793315";
558;"1913 12";"Food Center Amsterdam (12)";2029;2030;"Ballast Nedam / VolkerWessels";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";25;0;0;75;0;0;0;100;0;100;0;100;E;DX03;"POLYGON((4.867666 52.379783,4.867519 52.380102,4.86645 52.379953,4.866597 52.379674,4.867666 52.379783))";"4,867058";"52,379888";
559;"1300 10";"Amstelkwartier 1a (BE 3a) VSH";2017;2018;"CBRE Global Investors";"";"Functiewijziging";"";"6";"In aanbouw";0;0;130;0;0;0;130;0;0;130;0;130;M;DX15;"MULTIPOLYGON(((4.91932 52.338981,4.919159 52.339034,4.919107 52.338975,4.918008 52.339338,4.91806 52.339398,4.917899 52.339451,4.917759 52.339293,4.919181 52.338823,4.91932 52.338981)),((4.919718 52.339433,4.918794 52.339738,4.918655 52.33958,4.918939 52.339485,4.918992 52.339545,4.919469 52.339387,4.919417 52.339328,4.919579 52.339274,4.919718 52.339433)))";"4,9187385";"52,3392805";
560;"1919 01";"Tweede Rozendwarsstraat 8";2014;2015;"Bijker Vastgoed";"";"Vervanging";"";"7";"Opgeleverd";0;0;0;1;0;0;1;0;0;1;-1;0;A;DX01;"POLYGON((4.878586 52.372504,4.878563 52.37254,4.878439 52.372509,4.878466 52.372475,4.878586 52.372504))";"4,8785125";"52,3725075";
561;"1920 01";"Nieuwendam Nrd IJdoornschool";2018;2019;"Ymere";"";"Functiewijziging";"";"2";"Verkenning / Planvorming";80;20;0;0;0;0;100;0;0;100;0;100;N;DX19;"POLYGON((4.95396 52.391473,4.953283 52.392435,4.952613 52.391513,4.951998 52.391364,4.952231 52.391007,4.95396 52.391473))";"4,952979";"52,391721";
562;"1846 02";"Havenstraatterrein blok 2";2020;2021;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;0;125;0;125;0;0;125;0;125;K;DX10;"POLYGON((4.855506 52.348259,4.855005 52.348504,4.854721 52.348303,4.855148 52.348112,4.855506 52.348259))";"4,8551135";"52,348308";
563;"1846 03";"Havenstraatterrein blok 3";2021;2023;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;0;125;0;125;0;0;125;0;125;K;DX10;"POLYGON((4.854847 52.347981,4.854511 52.348189,4.854119 52.347947,4.854422 52.347801,4.854847 52.347981))";"4,854483";"52,347995";
564;"1846 04";"Havenstraatterrein blok 4";2021;2023;"";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;0;125;0;125;0;0;125;0;125;K;DX10;"POLYGON((4.854292 52.347744,4.854019 52.347894,4.853591 52.347644,4.853811 52.347515,4.854292 52.347744))";"4,8539415";"52,3477045";
565;"1921 01";"De School";2011;2012;"Schipper Bosch Ontwikkeling";"n.v.t.";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;11;0;0;11;0;0;11;0;11;E;DX05;"POLYGON((4.862859 52.369799,4.862558 52.369891,4.862398 52.369697,4.862442 52.369683,4.862523 52.369782,4.862678 52.369734,4.862673 52.369727,4.862774 52.369696,4.862859 52.369799))";"4,8626285";"52,369787";
566;"0345 15";"De Compagnon (Singelblok 5/6)";2014;2015;"Blauwhoed Eurowoningen bv";"Loof & van Stigt Architecten (LEVS)";"Inbreiding";"";"7";"Opgeleverd";0;0;0;24;0;20;4;0;0;24;0;24;N;DX19;"MULTIPOLYGON(((4.934987 52.406669,4.934899 52.406838,4.934798 52.406818,4.934821 52.406776,4.934646 52.406741,4.934659 52.406706,4.934429 52.406658,4.934207 52.406605,4.934181 52.406637,4.934011 52.406594,4.933983 52.406636,4.933885 52.406611,4.933997 52.406447,4.934264 52.406515,4.934486 52.406568,4.934711 52.406616,4.934987 52.406669)),((4.93569 52.406846,4.935512 52.406932,4.935457 52.406889,4.935248 52.406842,4.935224 52.406843,4.935147 52.406831,4.935129 52.406875,4.935027 52.406859,4.935096 52.406688,4.935506 52.406749,4.935636 52.406804,4.93569 52.406846)))";"4,9347875";"52,4066895";
567;"1922 01";"Jan de Louterhof Studenten";2013;2013;"Bouwontw. Duyncroft bv";"";"Functiewijziging";"";"7";"Opgeleverd";8;0;0;0;0;0;8;0;0;8;0;8;F;DX06;"POLYGON((4.820486 52.379971,4.820234 52.380011,4.820075 52.379658,4.82023 52.379635,4.820244 52.379664,4.820289 52.379657,4.820273 52.379618,4.820325 52.37961,4.820329 52.379619,4.820338 52.379617,4.820486 52.379971))";"4,8202805";"52,3798105";
568;"0607 10";"Hof van Confucius";2012;2014;"vof de Stadstuinen";"";"Vervanging";"";"7";"Opgeleverd";0;0;0;29;0;26;3;0;0;29;-25;4;F;DX06;"MULTIPOLYGON(((4.81596 52.37513,4.815822 52.375144,4.815636 52.374445,4.815801 52.374429,4.81582 52.374502,4.815794 52.374505,4.81596 52.37513)),((4.816531 52.375074,4.816393 52.375087,4.816227 52.374459,4.816364 52.374445,4.816531 52.375074)))";"4,8160835";"52,3747865";
569;"1923 01";"De Ark";2015;2016;"Particulier";"ZZDP Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;15;0;0;0;15;0;0;15;0;15;F;DX09;"POLYGON((4.825133 52.354585,4.82495 52.354942,4.824727 52.3549,4.824946 52.354541,4.825133 52.354585))";"4,82493";"52,3547415";
570;"1390 05";"Getijenveld Kavels blok A";2014;2016;"PO (Particuler Opdr.schap)";"diverse";"Inbreiding";"";"6";"In aanbouw";0;0;0;31;0;5;26;0;0;31;0;31;F;DX06;"POLYGON((4.801235 52.374249,4.800977 52.374275,4.800816 52.373609,4.801074 52.373581,4.801235 52.374249))";"4,8010255";"52,373928";
571;"1925 01";"Lutkemeerweg kavels";2014;2017;"PO (Particuler Opdr.schap)";"diverse";"Inbreiding";"";"6";"In aanbouw";0;0;0;10;0;10;0;0;0;10;0;10;F;DX07;"MULTIPOLYGON(((4.770989 52.362673,4.770478 52.362861,4.769725 52.362223,4.770216 52.362022,4.770989 52.362673)),((4.762933 52.355688,4.762478 52.355889,4.761955 52.355462,4.762405 52.355263,4.762933 52.355688)),((4.766915 52.359062,4.766404 52.35925,4.766115 52.358986,4.766567 52.358797,4.766915 52.359062)))";"4,766472";"52,359062";
572;"1926 01";"Het Terpje (TOW01 t/m TOW06)";2014;2016;"PO (Particuler Opdr.schap)";"diverse";"Inbreiding";"";"7";"Opgeleverd";0;0;0;6;0;6;0;0;0;6;0;6;F;DX08;"POLYGON((4.794134 52.348409,4.793747 52.349039,4.793125 52.348383,4.793794 52.34807,4.794134 52.348409))";"4,7936295";"52,3485545";
573;"1559 10";"Houthaven kavel Kopblok";2016;2018;"Synchroon bv";"";"Functiewijziging";"";"6";"In aanbouw";0;0;0;102;0;0;102;0;0;102;0;102;E;DX03;"MULTIPOLYGON(((4.880257 52.39587,4.879868 52.39615,4.878994 52.395697,4.879145 52.395587,4.879421 52.39573,4.879364 52.395772,4.879683 52.395937,4.879977 52.395725,4.880257 52.39587)),((4.879692 52.395576,4.879559 52.395673,4.879251 52.395512,4.879384 52.395416,4.879692 52.395576)))";"4,8796255";"52,395783";
574;"1927 01";"Grote Bickersstraat 35";2014;2014;"Particulier";"Eigen beheer";"Functiewijziging";"";"7";"Opgeleverd";0;0;1;0;0;0;1;0;0;1;0;1;A;DX01;"POLYGON((4.88906 52.384725,4.888894 52.384733,4.888887 52.38468,4.889053 52.384673,4.88906 52.384725))";"4,8889735";"52,384703";
575;"1928 01";"Valeriusstraat 85a";2013;2015;"Particulier";"Eigen beheer";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;1;0;0;1;0;0;1;0;1;K;DX10;"POLYGON((4.868611 52.354009,4.868585 52.354041,4.868485 52.354013,4.868525 52.353962,4.868596 52.353982,4.868581 52.354001,4.868611 52.354009))";"4,868548";"52,3540015";
576;"1929 01";"Ons Dorp Amsterdam";2014;2015;"CPO (Collectief Part.Opdr.schap)";"CASA Architecten";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;10;0;0;10;0;0;10;0;10;E;DX05;"POLYGON((4.867458 52.369441,4.867278 52.369788,4.867051 52.369744,4.867057 52.369732,4.867089 52.369738,4.867256 52.369416,4.867224 52.369409,4.867231 52.369397,4.867458 52.369441))";"4,8672545";"52,3695925";
577;"1410 27";"BSH WK1 / CPO Waterkavels";2018;2019;"CPO (Collectief Part.Opdr.schap)";"Eigen beheer";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;45;0;15;30;0;0;45;0;45;N;DX18;"POLYGON((4.907342 52.394304,4.904852 52.395252,4.904488 52.394962,4.906997 52.394015,4.907342 52.394304))";"4,905915";"52,3946335";
578;"1410 28";"BSH k3a / PO";2014;2017;"PO (Particuler Opdr.schap)";"diverse";"Functiewijziging";"";"6";"In aanbouw";0;0;0;11;0;0;11;0;0;11;0;11;N;DX18;"POLYGON((4.906015 52.398419,4.905278 52.398681,4.905068 52.398475,4.905776 52.398201,4.906015 52.398419))";"4,9055415";"52,398441";
579;"1116 08";"Amstelwijck";2015;2016;"Lingotto";"Blauw Archtecten bv";"Inbreiding";"";"6";"In aanbouw";0;0;0;18;0;0;18;0;0;18;0;18;K;DX12;"POLYGON((4.896625 52.338153,4.895795 52.33819,4.895756 52.337908,4.896589 52.337866,4.896625 52.338153))";"4,8961905";"52,338028";
580;"1300 11";"Amstelkwart.1b (BE 2a / C1-C4)";2014;2016;"CPO (Collectief Part.Opdr.schap)";"diverse";"Functiewijziging";"";"6";"In aanbouw";0;0;0;60;0;0;60;0;0;60;0;60;M;DX15;"POLYGON((4.918708 52.34085,4.918413 52.340948,4.91789 52.340355,4.918139 52.340271,4.918708 52.34085))";"4,918299";"52,3406095";
581;"1300 12";"Amstelkwart.1b (BE 2a / B1-B2)";2019;2021;"CPO (Collectief Part.Opdr.schap)";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;30;0;0;30;0;0;30;0;30;M;DX15;"POLYGON((4.919243 52.340674,4.919069 52.34073,4.91897 52.340625,4.918789 52.340431,4.918963 52.34038,4.918691 52.340091,4.918865 52.340033,4.919122 52.340329,4.918963 52.34038,4.919243 52.340674))";"4,918967";"52,3403815";
582;"1300 13";"De Spakler";2015;2017;"Lingotto / APF International";"";"Functiewijziging";"";"7";"Opgeleverd";0;160;0;0;0;0;160;0;0;160;0;160;M;DX15;"POLYGON((4.919745 52.340372,4.919632 52.340545,4.919308 52.340652,4.919193 52.340522,4.919745 52.340372))";"4,919469";"52,340512";
583;"1300 14";"De Lofts (BE2bb)";2017;2018;"AM Wonen bv";"";"Functiewijziging";"";"6";"In aanbouw";0;212;0;0;0;0;212;0;0;212;0;212;M;DX15;"POLYGON((4.92018 52.339699,4.919745 52.340372,4.919546 52.340374,4.919906 52.339816,4.919649 52.339901,4.919562 52.339802,4.920014 52.339653,4.92018 52.339699))";"4,919863";"52,3400135";
584;"1930 01";"Aalsmeerweg 85";2018;2018;"Particulier";"";"Functiewijziging";"";"5";"Investeringsbesluit genomen";0;0;0;5;0;0;5;0;0;5;0;5;K;DX10;"POLYGON((4.848249 52.348292,4.848174 52.348321,4.848073 52.348217,4.848147 52.348189,4.848249 52.348292))";"4,848161";"52,348255";
585;"1931 01";"Zeeburgerpad 54";2015;2015;"Particulier";"";"Inbreiding";"";"7";"Opgeleverd";0;0;0;4;0;0;4;0;0;4;0;4;M;DX14;"POLYGON((4.939259 52.367163,4.938967 52.367162,4.938969 52.366974,4.939261 52.366975,4.939259 52.367163))";"4,939114";"52,3670685";
586;"1932 01";"Amundsenhofje";2015;2015;"CPO (Collectief Part.Opdr.schap)";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;10;0;0;10;0;0;10;0;10;E;DX04;"POLYGON((4.845917 52.373974,4.845882 52.374079,4.845728 52.374073,4.845729 52.374063,4.845233 52.374043,4.845232 52.374052,4.845176 52.37405,4.845188 52.373944,4.845243 52.373946,4.845243 52.37395,4.845739 52.37397,4.84574 52.373967,4.845917 52.373974))";"4,8455465";"52,3740115";
587;"1933 01";"Woestduinstraat 18-24";2015;2016;"NL-Development";"Van den Oever - Zaaijer & P architecten";"Functiewijziging";"";"7";"Opgeleverd";9;0;0;12;0;0;21;0;0;21;0;21;K;DX10;"POLYGON((4.847524 52.35402,4.847523 52.354067,4.847081 52.354062,4.847082 52.354033,4.847025 52.354026,4.847026 52.353967,4.847045 52.353966,4.847047 52.353861,4.846999 52.35386,4.846999 52.353833,4.847211 52.353834,4.84721 52.353901,4.847227 52.353902,4.847226 52.353912,4.847523 52.353914,4.847524 52.35402))";"4,8472615";"52,35395";
588;"1934 01";"Aldengoor 10";2012;2014;"Particulier";"";"Vervanging";"";"7";"Opgeleverd";0;0;0;1;0;1;0;0;0;1;-1;0;K;DX11;"POLYGON((4.886033 52.323743,4.886032 52.323766,4.886008 52.323766,4.886008 52.32377,4.885898 52.323768,4.885899 52.32374,4.885891 52.32374,4.885895 52.323668,4.886013 52.32367,4.886009 52.323742,4.886033 52.323743))";"4,885962";"52,323719";
589;"1935 01";"Nieuwendammer Sluispad 1-2";2015;2016;"Particulier";"";"Vervanging";"";"6";"In aanbouw";0;0;0;2;0;2;0;0;0;2;0;2;N;DX18;"POLYGON((4.9381 52.391605,4.937956 52.391732,4.937849 52.391684,4.938 52.391556,4.9381 52.391605))";"4,9379745";"52,391644";
590;"0716 06";"Eenhoorn 7 (Rudolf Dieselbrt)";2019;2020;"Ymere";"";"Vervanging";"";"5";"Investeringsbesluit genomen";58;0;0;0;0;0;58;0;0;58;-31;27;M;DX15;"POLYGON((4.922674 52.350392,4.922175 52.350701,4.921642 52.350379,4.922141 52.35007,4.922674 52.350392),(4.922142 52.350197,4.92185 52.350379,4.922173 52.350574,4.922466 52.350392,4.922142 52.350197))";"4,922158";"52,3503855";
591;"0716 07";"Eenhoorn 8 (Rudolf Dieselbrt)";2019;2021;"Ymere";"";"Vervanging";"";"5";"Investeringsbesluit genomen";58;0;0;0;0;0;58;0;0;58;-31;27;M;DX15;"POLYGON((4.92329 52.350765,4.922791 52.351074,4.922384 52.350828,4.922882 52.350518,4.92329 52.350765),(4.922884 52.350646,4.922591 52.350827,4.922789 52.350947,4.923082 52.350765,4.922884 52.350646))";"4,922837";"52,350796";
592;"1936 01";"Herman Gorterstraat 24";2013;2013;"Particulier";"";"Vervanging";"";"7";"Opgeleverd";0;0;0;1;0;1;0;0;0;1;-1;0;K;DX10;"POLYGON((4.882644 52.346299,4.882538 52.346379,4.882507 52.346363,4.882486 52.346379,4.882344 52.346307,4.882388 52.346274,4.882381 52.34627,4.882389 52.346265,4.882396 52.346268,4.882415 52.346254,4.882544 52.346319,4.8826 52.346277,4.882644 52.346299))";"4,882494";"52,3463165";
593;"1937 01";"Ouderkerkerdijk 203";2018;2018;"Particulier";"";"Inbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;1;0;1;0;0;0;1;0;1;M;DX15;"POLYGON((4.896361 52.324702,4.896261 52.324723,4.896216 52.324642,4.896315 52.32462,4.896361 52.324702))";"4,8962885";"52,3246715";
594;"1938 01";"Ouderkerkerdijk 204";2018;2018;"Particulier";"Eigen beheer";"Inbreiding";"";"5";"Investeringsbesluit genomen";0;0;0;1;0;1;0;0;0;1;0;1;M;DX15;"POLYGON((4.896305 52.324572,4.896199 52.324585,4.896165 52.324479,4.896268 52.324468,4.896305 52.324572))";"4,896235";"52,3245265";
595;"1939 01";"van Woustraat 64-70 (Oplagen)";2014;2014;"Particulier";"";"Inbreiding";"";"7";"Opgeleverd";0;0;0;7;0;0;7;0;0;7;0;7;K;DX12;"POLYGON((4.900489 52.355571,4.900339 52.355758,4.900172 52.355708,4.900285 52.355567,4.900246 52.355556,4.90026 52.355538,4.900277 52.355543,4.900299 52.355514,4.900489 52.355571))";"4,9003305";"52,355636";
596;"1940 01";"Lijnbaansgracht 164";2012;2013;"Particulier";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;6;0;0;6;0;0;6;0;6;A;DX01;"POLYGON((4.878194 52.37011,4.878172 52.370142,4.877721 52.370026,4.877746 52.36999,4.877936 52.370039,4.877941 52.370031,4.878081 52.370067,4.878073 52.370079,4.878194 52.37011))";"4,8779575";"52,370066";
597;"1941 01";"Vondelstraat 69-71";2013;2014;"REB Projects bv";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;6;0;0;6;0;0;6;0;6;E;DX05;"POLYGON((4.874408 52.361151,4.874405 52.361159,4.87436 52.361175,4.87436 52.361184,4.874335 52.361193,4.874319 52.361176,4.874241 52.361203,4.874218 52.361179,4.874179 52.361192,4.874017 52.361022,4.874055 52.361007,4.874051 52.361003,4.87407 52.360996,4.874073 52.360988,4.874117 52.360973,4.87413 52.360975,4.874149 52.360968,4.874153 52.360973,4.874192 52.360959,4.874252 52.360969,4.874392 52.361115,4.874379 52.36112,4.874408 52.361151))";"4,8742125";"52,361081";
598;"1942 01";"Sumatra- / Ombilinstraat AQ45";2016;2017;"Eigen Haard";"";"Vervanging";"";"7";"Opgeleverd";0;0;13;36;0;0;49;0;0;49;-77;-28;M;DX14;"POLYGON((4.939121 52.358361,4.938958 52.358799,4.938383 52.358718,4.938395 52.358688,4.938193 52.358659,4.938227 52.35857,4.938319 52.358583,4.938309 52.35861,4.938424 52.358626,4.938412 52.358643,4.938533 52.358659,4.938539 52.358646,4.938868 52.358692,4.938885 52.358685,4.938899 52.358646,4.938875 52.358643,4.938885 52.358616,4.938875 52.358614,4.938916 52.358506,4.938925 52.358507,4.938936 52.35848,4.93896 52.358483,4.938981 52.358427,4.939031 52.358341,4.939121 52.358361))";"4,938657";"52,35857";
599;"1471 02";"De Studio (GAK-Zuidvleugel)";2014;2015;"Stadgenoot / AM Wonen bv";"Wessel de Jonge Architecten bv";"Functiewijziging";"";"7";"Opgeleverd";161;0;0;170;0;0;331;0;331;331;0;331;E;DX04;"POLYGON((4.844247 52.37626,4.843925 52.376314,4.84363 52.375613,4.843946 52.37556,4.844247 52.37626))";"4,8439385";"52,375937";
600;"1118 02";"Kenniskwartier kavel 2 (2)";2021;2023;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.867544 52.337421,4.867533 52.337727,4.866689 52.337689,4.866685 52.337418,4.867544 52.337421))";"4,8671145";"52,3375725";
601;"1118 03";"Kenniskwartier kavel 2 (3)";2022;2024;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.868388 52.337425,4.86836 52.337761,4.867579 52.337726,4.867582 52.337422,4.868388 52.337425))";"4,8679835";"52,3375915";
602;"1118 04";"Kenniskwartier kavel 2 (4)";2023;2025;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.866639 52.337384,4.865688 52.337385,4.865714 52.337122,4.866642 52.337126,4.866639 52.337384))";"4,866165";"52,3372535";
603;"1118 05";"Kenniskwartier kavel 2 (5)";2024;2026;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.867521 52.337393,4.866693 52.33739,4.866696 52.337126,4.867524 52.33713,4.867521 52.337393))";"4,8671085";"52,3372595";
604;"1118 06";"Kenniskwartier kavel 2 (6)";2025;2027;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.868414 52.337144,4.868387 52.337396,4.867575 52.337403,4.867578 52.337135,4.868414 52.337144))";"4,8679945";"52,337269";
605;"1118 07";"Kenniskwartier kavel 2 (7)";2026;2028;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.866351 52.337097,4.865706 52.337089,4.86575 52.33684,4.866354 52.336838,4.866351 52.337097))";"4,86603";"52,3369675";
606;"1118 08";"Kenniskwartier kavel 2 (8)";2027;2029;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.867026 52.3371,4.866397 52.337097,4.8664 52.336838,4.867029 52.336841,4.867026 52.3371))";"4,866713";"52,336969";
607;"1118 09";"Kenniskwartier kavel 2 (9)";2028;2030;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.867747 52.337103,4.867087 52.3371,4.86709 52.336841,4.86775 52.336844,4.867747 52.337103))";"4,8674185";"52,336972";
608;"1118 10";"Kenniskwartier kavel 2 (10)";2029;2031;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";11;0;0;33;0;0;44;0;0;44;0;44;K;DX11;"POLYGON((4.868441 52.336846,4.86842 52.3371,4.867785 52.337108,4.867781 52.33684,4.868441 52.336846))";"4,868111";"52,336974";
609;"1118 13";"Kenniskwartier kavel 5-6 (2)";2024;2026;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";60;0;0;161;0;0;221;0;0;221;0;221;K;DX11;"POLYGON((4.868455 52.33654,4.867102 52.336537,4.867104 52.336042,4.868442 52.336048,4.868455 52.33654))";"4,8677785";"52,336291";
610;"1118 14";"Kenniskwartier kavel 5-6 (3)";2025;2027;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";60;0;0;161;0;0;221;0;0;221;0;221;K;DX11;"POLYGON((4.86667 52.336014,4.86577 52.336013,4.865776 52.335511,4.866669 52.335514,4.86667 52.336014))";"4,86622";"52,3357625";
611;"1118 15";"Kenniskwartier kavel 5-6 (4)";2026;2028;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";60;0;0;161;0;0;221;0;0;221;0;221;K;DX11;"POLYGON((4.867629 52.336021,4.866739 52.336027,4.866738 52.33551,4.867635 52.335514,4.867629 52.336021))";"4,8671865";"52,3357685";
612;"1118 16";"Kenniskwartier kavel 5-6 (5)";2027;2029;"";"";"Inbreiding";"";"2";"Verkenning / Planvorming";60;0;0;161;0;0;221;0;0;221;0;221;K;DX11;"POLYGON((4.868454 52.33602,4.867675 52.336017,4.867681 52.335512,4.868459 52.335515,4.868454 52.33602))";"4,868067";"52,335766";
613;"1943 01";"Westerhoek";2013;2014;"Syntrus Achmea Real Estate";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;185;0;0;0;185;0;0;185;0;185;E;DX04;"POLYGON((4.849866 52.385546,4.84986 52.385619,4.849808 52.385617,4.849805 52.38565,4.849779 52.385649,4.849777 52.385682,4.849645 52.385678,4.849642 52.38571,4.849445 52.385705,4.849447 52.385673,4.849143 52.385666,4.849141 52.385698,4.848943 52.385693,4.848945 52.385661,4.848846 52.385658,4.848837 52.385668,4.848819 52.385672,4.848801 52.385667,4.848793 52.385657,4.848694 52.385654,4.848691 52.385686,4.848494 52.385681,4.848496 52.385649,4.848192 52.385641,4.84819 52.385673,4.847992 52.385668,4.847994 52.385636,4.847875 52.385633,4.847877 52.385601,4.84776 52.385597,4.847772 52.385416,4.847776 52.385416,4.847778 52.385392,4.847787 52.385376,4.847803 52.385364,4.847821 52.385356,4.847846 52.38535,4.848726 52.385372,4.848718 52.385486,4.848944 52.385492,4.848952 52.385377,4.849664 52.385395,4.849661 52.385444,4.849793 52.385447,4.849789 52.385512,4.849814 52.385513,4.849813 52.385545,4.849866 52.385546))";"4,848813";"52,38553";
614;"1944 01";"Tetterode-kantoor 1e fase";2013;2013;"Amsterdamse Financieringsmij bv";"";"Functiewijziging";"";"7";"Opgeleverd";0;0;0;94;0;0;94;0;94;94;0;94;E;DX04;"POLYGON((4.861547 52.380824,4.861321 52.380956,4.86137 52.38099,4.860529 52.38147,4.860392 52.381379,4.860125 52.381201,4.860874 52.380777,4.860892 52.380789,4.860916 52.380775,4.860928 52.380775,4.860954 52.380792,4.860954 52.380799,4.860983 52.380814,4.861274 52.380648,4.861547 52.380824))";"4,860836";"52,381059";
615;"1945 01";"Cruquius Albeton Rechts (1.1)";2015;2017;"Amvest Vastgoed";"Geurst & Schulze Architecten";"Functiewijziging";"";"6";"In aanbouw";0;0;116;0;0;0;116;0;0;116;0;116;M;DX14;"POLYGON((4.953026 52.368797,4.953012 52.369358,4.951831 52.369359,4.951836 52.368782,4.953026 52.368797))";"4,9524285";"52,3690705";
